x h_5_t
1.5 0.05
1.66583 0.05
1.83166 0.05
1.99749 0.05
2.16332 0.05
2.32915 0.05
2.49497 0.05
2.6608 0.05
2.82663 0.05
2.99246 0.05
3.15829 0.05
3.32412 0.05
3.48995 0.05
3.65578 0.05
3.82161 0.05
3.98744 0.05
4.15327 0.05
4.3191 0.05
4.48492 0.05
4.65075 0.05
4.81658 0.05
4.98241 0.05
5.14824 0.05
5.31407 0.05
5.4799 0.05
5.64573 0.05
5.81156 0.05
5.97739 0.05
6.14322 0.05
6.30905 0.05
6.47487 0.05
6.6407 0.05
6.80653 0.05
6.97236 0.05
7.13819 0.05
7.30402 0.05
7.46985 0.05
7.63568 0.05
7.80151 0.05
7.96734 0.05
8.13317 0.05
8.29899 0.05
8.46482 0.05
8.63065 0.05
8.79648 0.05
8.96231 0.05
9.12814 0.05
9.29397 0.05
9.4598 0.05
9.62563 0.05
9.79146 0.0500001
9.95729 0.0500001
10.1231 0.0500001
10.2889 0.0500002
10.4548 0.0500003
10.6206 0.0500004
10.7864 0.0500005
10.9523 0.0500007
11.1181 0.050001
11.2839 0.0500014
11.4497 0.0500019
11.6156 0.0500025
11.7814 0.0500034
11.9472 0.0500047
12.1131 0.0500063
12.2789 0.0500084
12.4447 0.0500113
12.6106 0.050015
12.7764 0.05002
12.9422 0.0500264
13.108 0.0500348
13.2739 0.0500458
13.4397 0.0500599
13.6055 0.0500781
13.7714 0.0501014
13.9372 0.0501313
14.103 0.0501693
14.2688 0.0502175
14.4347 0.0502785
14.6005 0.0503552
14.7663 0.0504514
14.9322 0.0505715
15.098 0.050721
15.2638 0.0509062
15.4296 0.0511349
15.5955 0.051416
15.7613 0.0517603
15.9271 0.0521803
16.093 0.0526905
16.2588 0.053308
16.4246 0.0540524
16.5905 0.054946
16.7563 0.0560146
16.9221 0.0572872
17.0879 0.0587968
17.2538 0.0605801
17.4196 0.0626784
17.5854 0.0651371
17.7513 0.0680064
17.9171 0.0713411
18.0829 0.0752006
18.2487 0.0796491
18.4146 0.0847551
18.5804 0.0905911
18.7462 0.0972333
18.9121 0.104761
19.0779 0.113256
19.2437 0.1228
19.4095 0.133478
19.5754 0.145372
19.7412 0.15856
19.907 0.17312
20.0729 0.18912
20.2387 0.206623
20.4045 0.225683
20.5704 0.24634
20.7362 0.268622
20.902 0.29254
21.0678 0.318089
21.2337 0.345243
21.3995 0.373956
21.5653 0.404159
21.7312 0.435759
21.897 0.468639
22.0628 0.502656
22.2286 0.537644
22.3945 0.573411
22.5603 0.609743
22.7261 0.646403
22.892 0.683135
23.0578 0.719667
23.2236 0.755711
23.3894 0.790969
23.5553 0.825138
23.7211 0.857911
23.8869 0.888984
24.0528 0.91806
24.2186 0.944851
24.3844 0.969089
24.5503 0.990524
24.7161 1.00893
24.8819 1.02412
25.0477 1.03592
25.2136 1.0442
25.3794 1.04888
25.5452 1.04991
25.7111 1.04727
25.8769 1.04099
26.0427 1.03114
26.2085 1.01783
26.3744 1.0012
26.5402 0.981436
26.706 0.958736
26.8719 0.93334
27.0377 0.905507
27.2035 0.875516
27.3693 0.843656
27.5352 0.81023
27.701 0.775543
27.8668 0.739901
28.0327 0.703606
28.1985 0.666951
28.3643 0.630218
28.5302 0.593672
28.696 0.557562
28.8618 0.522113
29.0276 0.487531
29.1935 0.453996
29.3593 0.421664
29.5251 0.390667
29.691 0.361111
29.8568 0.333077
30.0226 0.306626
30.1884 0.281794
30.3543 0.258598
30.5201 0.237035
30.6859 0.217086
30.8518 0.198719
31.0176 0.181885
31.1834 0.166528
31.3492 0.152582
31.5151 0.139974
31.6809 0.128626
31.8467 0.118458
32.0126 0.109387
32.1784 0.101328
32.3442 0.0942009
32.5101 0.0879237
32.6759 0.0824187
32.8417 0.0776113
33.0075 0.0734305
33.1734 0.06981
33.3392 0.0666875
33.505 0.0640057
33.6709 0.0617118
33.8367 0.0597577
34.0025 0.0580998
34.1683 0.056699
34.3342 0.0555202
34.5 0.0545321
