x h_0_t
1.5 0.05
1.66583 0.05
1.83166 0.05
1.99749 0.05
2.16332 0.05
2.32915 0.05
2.49497 0.05
2.6608 0.05
2.82663 0.05
2.99246 0.05
3.15829 0.05
3.32412 0.05
3.48995 0.05
3.65578 0.05
3.82161 0.05
3.98744 0.05
4.15327 0.05
4.3191 0.05
4.48492 0.05
4.65075 0.05
4.81658 0.05
4.98241 0.05
5.14824 0.05
5.31407 0.05
5.4799 0.05
5.64573 0.05
5.81156 0.05
5.97739 0.05
6.14322 0.05
6.30905 0.05
6.47487 0.05
6.6407 0.05
6.80653 0.05
6.97236 0.05
7.13819 0.05
7.30402 0.05
7.46985 0.05
7.63568 0.05
7.80151 0.05
7.96734 0.05
8.13317 0.05
8.29899 0.05
8.46482 0.05
8.63065 0.05
8.79648 0.05
8.96231 0.05
9.12814 0.05
9.29397 0.05
9.4598 0.05
9.62563 0.05
9.79146 0.05
9.95729 0.05
10.1231 0.05
10.2889 0.05
10.4548 0.05
10.6206 0.05
10.7864 0.05
10.9523 0.05
11.1181 0.05
11.2839 0.05
11.4497 0.05
11.6156 0.05
11.7814 0.05
11.9472 0.05
12.1131 0.05
12.2789 0.05
12.4447 0.05
12.6106 0.05
12.7764 0.05
12.9422 0.05
13.108 0.05
13.2739 0.05
13.4397 0.05
13.6055 0.05
13.7714 0.05
13.9372 0.05
14.103 0.05
14.2688 0.05
14.4347 0.05
14.6005 0.05
14.7663 0.05
14.9322 0.05
15.098 0.05
15.2638 0.05
15.4296 0.05
15.5955 0.05
15.7613 0.05
15.9271 0.05
16.093 0.05
16.2588 0.05
16.4246 0.05
16.5905 0.05
16.7563 0.05
16.9221 0.05
17.0879 0.05
17.2538 0.05
17.4196 0.05
17.5854 0.05
17.7513 0.05
17.9171 0.05
18.0829 0.05
18.2487 0.05
18.4146 0.0500001
18.5804 0.0500001
18.7462 0.0500001
18.9121 0.0500002
19.0779 0.0500003
19.2437 0.0500005
19.4095 0.0500008
19.5754 0.0500013
19.7412 0.0500019
19.907 0.050003
20.0729 0.0500045
20.2387 0.0500067
20.4045 0.05001
20.5704 0.0500149
20.7362 0.0500219
20.902 0.0500321
21.0678 0.0500466
21.2337 0.0500673
21.3995 0.0500965
21.5653 0.0501374
21.7312 0.0501942
21.897 0.0502726
22.0628 0.0503802
22.2286 0.0505265
22.3945 0.0507242
22.5603 0.0509892
22.7261 0.0513419
22.892 0.051808
23.0578 0.0524193
23.2236 0.053215
23.3894 0.0542432
23.5553 0.0555619
23.7211 0.0572405
23.8869 0.0593611
24.0528 0.0620198
24.2186 0.0653279
24.3844 0.0694125
24.5503 0.0744171
24.7161 0.0805016
24.8819 0.0878412
25.0477 0.0966253
25.2136 0.107055
25.3794 0.119339
25.5452 0.133691
25.7111 0.150321
25.8769 0.169432
26.0427 0.191209
26.2085 0.215813
26.3744 0.24337
26.5402 0.273963
26.706 0.307617
26.8719 0.344299
27.0377 0.383901
27.2035 0.426236
27.3693 0.471034
27.5352 0.517938
27.701 0.566504
27.8668 0.616205
28.0327 0.666435
28.1985 0.716524
28.3643 0.765746
28.5302 0.813336
28.696 0.858513
28.8618 0.900497
29.0276 0.938531
29.1935 0.971906
29.3593 0.999982
29.5251 1.02221
29.691 1.03813
29.8568 1.04744
30.0226 1.04994
30.1884 1.04557
30.3543 1.03443
30.5201 1.01675
30.6859 0.992884
30.8518 0.963304
31.0176 0.928591
31.1834 0.889407
31.3492 0.846476
31.5151 0.800563
31.6809 0.752451
31.8467 0.702918
32.0126 0.652721
32.1784 0.602571
32.3442 0.553123
32.5101 0.504961
32.6759 0.458591
32.8417 0.414433
33.0075 0.37282
33.1734 0.334
33.3392 0.298136
33.505 0.265316
33.6709 0.235556
33.8367 0.208815
34.0025 0.184996
34.1683 0.163963
34.3342 0.145548
34.5 0.12956
