x y
0.0004 15.9819
0.00107586 15.8694
0.00175172 15.6563
0.00242759 15.3474
0.00310345 14.9493
0.00377931 14.4705
0.00445517 13.9208
0.00513103 13.3113
0.0058069 12.6539
0.00648276 11.9607
0.00715862 11.2439
0.00783448 10.5155
0.00851034 9.78662
0.00918621 9.06765
0.00986207 8.36776
0.0105379 7.69489
0.0112138 7.05556
0.0118897 6.45492
0.0125655 5.8967
0.0132414 5.3833
0.0139172 4.91588
0.0145931 4.49451
0.015269 4.1183
0.0159448 3.78556
0.0166207 3.494
0.0172966 3.24082
0.0179724 3.02295
0.0186483 2.83712
0.0193241 2.68
0.02 2.54829
0.05 2
0.1 2
0.15 2
0.2 2
0.25 2
0.3 2
0.35 2
0.4 2
0.45 2
0.5 2
0.55 2
0.6 2
0.65 2
0.7 2
0.75 2
0.8 2
0.85 2
0.9 2
0.95 2
1 2
1.05 2
1.1 2
1.15 2
1.2 2
1.25 2
1.3 2
1.35 2
1.4 2
1.45 2
1.5 2
1.55 2
1.6 2
1.65 2
1.7 2
1.75 2
1.8 2
1.85 2
1.9 2
1.95 2
2 2
2.05 2
2.1 2
2.15 2
2.2 2
2.25 2
2.3 2
2.35 2
2.4 2
2.45 2
2.5 2
2.55 2
2.6 2
2.65 2
2.7 2
2.75 2
2.8 2
2.85 2
2.9 2
2.95 2
3 2
