x 2_k err
0.0005 25.4687 0.32
0.00140476 24.7318 0.32
0.00230952 24.3526 0.32
0.00321429 24.2868 0.32
0.00411905 23.4703 0.32
0.00502381 22.8684 0.32
0.00592857 21.7384 0.32
0.00683333 21.3918 0.32
0.0077381 19.9151 0.32
0.00864286 19.3807 0.32
0.00954762 18.9293 0.32
0.0104524 18.0363 0.32
0.0113571 17.481 0.32
0.0122619 16.3504 0.32
0.0131667 15.4828 0.32
0.0140714 14.7707 0.32
0.0149762 13.9834 0.32
0.015881 14.0538 0.32
0.0167857 13.2298 0.32
0.0176905 13.49 0.32
0.0185952 13.8034 0.32
0.0195 12.3805 0.32
0.045 11.9922 0.32
0.116341 11.6403 0.32
0.187683 10.7598 0.32
0.259024 10.7139 0.32
0.330366 9.88456 0.32
0.401707 10.0949 0.32
0.473049 9.77806 0.32
0.54439 10.0679 0.32
0.615732 9.24235 0.32
0.687073 8.99285 0.32
0.758415 8.74207 0.32
0.829756 8.50711 0.32
0.901098 7.90543 0.32
0.972439 7.7166 0.32
1.04378 7.47268 0.32
1.11512 7.30593 0.32
1.18646 6.96275 0.32
1.2578 7.10141 0.32
1.32915 7.19657 0.32
1.40049 7.27081 0.32
1.47183 6.51775 0.32
1.54317 6.76724 0.32
1.61451 6.49883 0.32
1.68585 5.62417 0.32
1.7572 5.96166 0.32
1.82854 6.40684 0.32
1.89988 5.78465 0.32
1.97122 5.57502 0.32
2.04256 5.17595 0.32
2.1139 5.012 0.32
2.18524 5.25933 0.32
2.25659 5.0614 0.32
2.32793 5.01072 0.32
2.39927 4.65586 0.32
2.47061 4.42874 0.32
2.54195 4.73872 0.32
2.61329 4.74858 0.32
2.68463 3.92037 0.32
2.75598 4.16828 0.32
2.82732 4.5628 0.32
2.89866 3.90177 0.32
2.97 4.57771 0.32
