x 60_k err
0.0005 22.348 0.32
0.00140476 21.4716 0.32
0.00230952 22.6239 0.32
0.00321429 21.5888 0.32
0.00411905 21.9618 0.32
0.00502381 21.6233 0.32
0.00592857 21.2605 0.32
0.00683333 21.4458 0.32
0.0077381 20.9166 0.32
0.00864286 20.4802 0.32
0.00954762 20.5628 0.32
0.0104524 20.4722 0.32
0.0113571 19.5077 0.32
0.0122619 19.7631 0.32
0.0131667 18.6859 0.32
0.0140714 18.5898 0.32
0.0149762 18.8585 0.32
0.015881 18.6612 0.32
0.0167857 18.8136 0.32
0.0176905 18.6395 0.32
0.0185952 18.2505 0.32
0.0195 17.9512 0.32
0.045 16.0969 0.32
0.116341 14.024 0.32
0.187683 11.9238 0.32
0.259024 11.0884 0.32
0.330366 9.98227 0.32
0.401707 8.71256 0.32
0.473049 7.37262 0.32
0.54439 6.52918 0.32
0.615732 6.59658 0.32
0.687073 6.34038 0.32
0.758415 5.08093 0.32
0.829756 4.81369 0.32
0.901098 4.49766 0.32
0.972439 3.84715 0.32
1.04378 3.78807 0.32
1.11512 3.73251 0.32
1.18646 3.69922 0.32
1.2578 3.86235 0.32
1.32915 3.24542 0.32
1.40049 3.04494 0.32
1.47183 3.3273 0.32
1.54317 3.40262 0.32
1.61451 2.56822 0.32
1.68585 2.48649 0.32
1.7572 3.45819 0.32
1.82854 2.39389 0.32
1.89988 2.62358 0.32
1.97122 2.52237 0.32
2.04256 2.814 0.32
2.1139 3.11704 0.32
2.18524 2.52226 0.32
2.25659 2.03625 0.32
2.32793 3.0499 0.32
2.39927 2.4394 0.32
2.47061 3.07744 0.32
2.54195 2.34179 0.32
2.61329 2.94925 0.32
2.68463 2.47118 0.32
2.75598 2.4972 0.32
2.82732 2.52809 0.32
2.89866 1.93967 0.32
2.97 2.67252 0.32
