x 2_k err
0.0004 25.8217 0.35
0.001184 26.1866 0.35
0.001968 25.1333 0.35
0.002752 24.9995 0.35
0.003536 23.9809 0.35
0.00432 23.7977 0.35
0.005104 22.5368 0.35
0.005888 21.4612 0.35
0.006672 20.0775 0.35
0.007456 19.8454 0.35
0.00824 18.5195 0.35
0.009024 17.4361 0.35
0.009808 16.478 0.35
0.010592 15.2724 0.35
0.011376 14.0755 0.35
0.01216 13.1541 0.35
0.012944 12.3483 0.35
0.013728 12.1639 0.35
0.014512 10.809 0.35
0.015296 10.4562 0.35
0.01608 10.0311 0.35
0.016864 9.74406 0.35
0.017648 9.47276 0.35
0.018432 8.71584 0.35
0.019216 8.3463 0.35
0.02 8.57329 0.35
0.05 7.9823 0.35
0.117045 7.46443 0.35
0.184091 6.95403 0.35
0.251136 6.47245 0.35
0.318182 6.30144 0.35
0.385227 5.86669 0.35
0.452273 5.85259 0.35
0.519318 5.1903 0.35
0.586364 5.18154 0.35
0.653409 4.89647 0.35
0.720455 4.85211 0.35
0.7875 4.57931 0.35
0.854545 4.98128 0.35
0.921591 4.5518 0.35
0.988636 4.39653 0.35
1.05568 3.36869 0.35
1.12273 3.65993 0.35
1.18977 3.46879 0.35
1.25682 3.63888 0.35
1.32386 2.8289 0.35
1.39091 3.59284 0.35
1.45795 3.47359 0.35
1.525 2.79553 0.35
1.59205 2.7967 0.35
1.65909 2.76701 0.35
1.72614 2.90936 0.35
1.79318 2.99489 0.35
1.86023 3.28728 0.35
1.92727 2.67083 0.35
1.99432 2.86086 0.35
2.06136 2.66028 0.35
2.12841 3.01723 0.35
2.19545 2.72174 0.35
2.2625 2.84022 0.35
2.32955 2.19325 0.35
2.39659 2.38172 0.35
2.46364 2.19578 0.35
2.53068 2.74707 0.35
2.59773 2.50888 0.35
2.66477 2.2437 0.35
2.73182 2.18412 0.35
2.79886 2.39727 0.35
2.86591 2.0811 0.35
2.93295 2.00559 0.35
3 2.34162 0.35
